code;libelle;apl_generaliste;taux_pauvrete
01004;Ambérieu-en-Bugey;3.0;11.1
01033;Valserhône;1.8;13.0
01034;Belley;3.3;12.5
01072;Ceyzériat;3.0;7.4
01093;Châtillon-sur-Chalaronne;2.0;8.0
01138;Culoz-Béon;3.5;10.5
01143;Divonne-les-Bains;2.1;7.8
01173;Gex;2.4;9.4
01185;Plateau d'Hauteville;1.5;12.2
01202;Lagnieu;2.8;7.9
01244;Meximieux;2.8;6.2
01265;Montréal-la-Cluse;1.8;13.6
01266;Montrevel-en-Bresse;2.5;7.3
01304;Pont-d'Ain;3.6;10.2
01305;Pont-de-Vaux;2.2;9.7
01333;Saint-André-de-Corcy;3.2;5.0
01443;Villars-les-Dombes;2.9;7.6
01457;Vonnas;2.0;8.5
02095;Bohain-en-Vermandois;3.1;23.2
02163;Charly-sur-Marne;1.6;12.5
02168;Château-Thierry;3.4;15.7
02173;Chauny;2.4;17.8
02305;Fère-en-Tardenois;2.7;16.9
02360;Villeneuve-sur-Aisne;3.4;8.3
02361;Guise;3.9;21.9
02381;Hirson;3.3;25.9
02408;Laon;2.9;18.6
02468;Marle;3.3;21.1
02502;Montcornet;3.2;21.2
02558;Le Nouvion-en-Thiérache;3.5;20.1
02738;Tergnier;2.4;20.1
02789;Vervins;2.8;21.5
02810;Villers-Cotterêts;2.2;11.9
03036;Bourbon-l'Archambault;3.2;18.6
03082;Commentry;3.3;15.9
03102;Dompierre-sur-Besbre;2.9;13.9
03118;Gannat;3.1;12.6
03138;Lapalisse;1.9;19.9
03186;Montmarault;2.4;19.3
03254;Saint-Pourçain-sur-Sioule;3.2;13.1
03298;Varennes-sur-Allier;2.9;15.0
04019;Barcelonnette;5.2;16.3
04049;Château-Arnoux-Saint-Auban;3.9;15.4
04070;Digne-les-Bains;2.3;16.5
04088;Forcalquier;3.4;18.6
04094;Gréoux-les-Bains;4.0;13.6
04143;Oraison;3.6;13.8
04166;Riez;3.9;19.2
04173;Saint-André-les-Alpes;4.3;21.2
04209;Sisteron;3.5;16.7
05006;L'Argentière-la-Bessée;3.9;16.5
05023;Briançon;6.1;14.1
05040;Chorges;3.7;14.2
05046;Embrun;5.5;14.3
05065;Guillestre;6.7;15.0
05070;Laragne-Montéglin;2.1;17.2
05132;Saint-Bonnet-en-Champsaur;5.7;15.2
05170;Tallard;3.4;13.3
05179;Veynes;4.2;20.1
06099;Puget-Théniers;2.4;19.5
07010;Annonay;3.1;13.0
07042;Bourg-Saint-Andéol;2.1;18.0
07064;Le Cheylard;4.7;14.8
07129;Lamastre;2.5;19.3
07186;Privas;1.9;14.0
07201;Ruoms;3.8;15.0
07330;Vallon-Pont-d'Arc;3.3;16.4
07334;Les Vans;3.8;22.6
07338;Vernoux-en-Vivarais;2.8;20.7
07341;Villeneuve-de-Berg;2.5;15.6
07349;La Voulte-sur-Rhône;2.5;12.0
08090;Carignan;2.9;20.9
08185;Fumay;2.6;21.1
08190;Givet;3.4;19.8
08302;Monthermé;2.3;18.0
08328;Nouzonville;2.5;22.5
08362;Rethel;3.7;14.1
08363;Revin;3.0;21.4
08409;Sedan;3.3;20.7
08490;Vouziers;3.8;17.3
09122;Foix;4.4;18.7
09160;Lavelanet;3.1;22.1
09167;Lézat-sur-Lèze;4.2;15.4
09185;Mazères;3.5;13.0
09194;Mirepoix;2.5;20.3
09225;Pamiers;4.5;16.0
09261;Saint-Girons;3.3;23.5
09282;Saverdun;3.0;13.5
09306;Tarascon-sur-Ariège;3.4;18.5
10003;Aix-Villemaur-Pâlis;2.2;13.6
10006;Arcis-sur-Aube;2.5;11.9
10033;Bar-sur-Aube;2.3;16.1
10034;Bar-sur-Seine;2.5;14.4
10064;Brienne-le-Château;3.1;13.0
10268;Nogent-sur-Seine;2.3;13.5
10323;Romilly-sur-Seine;2.7;18.4
11049;Bram;2.8;17.4
11076;Castelnaudary;2.9;16.3
11106;Coursan;3.3;17.3
11203;Lézignan-Corbières;3.7;21.5
11206;Limoux;2.9;20.4
11266;Port-la-Nouvelle;3.1;23.1
11304;Quillan;2.7;29.6
11379;Sigean;3.3;19.0
11397;Trèbes;4.1;21.2
12052;Capdenac-Gare;2.6;13.2
12056;Baraqueville;3.0;10.1
12089;Decazeville;3.5;18.3
12096;Espalion;3.8;13.6
12119;Laguiole;3.9;19.1
12120;Laissac-Sévérac l'Église;3.7;12.9
12138;Marcillac-Vallon;3.3;11.3
12145;Millau;3.6;15.2
12148;Montbazens;3.7;13.2
12169;Naucelle;4.3;15.3
12197;Réquista;2.5;20.7
12198;Rieupeyroux;2.9;18.2
12199;Rignac;3.5;10.6
12208;Saint-Affrique;2.6;16.4
12224;Saint Geniez d'Olt et d'Aubrac;3.1;16.8
12270;Sévérac d'Aveyron;2.8;14.1
12300;Villefranche-de-Rouergue;3.2;16.7
13022;Cassis;5.1;9.2
13035;Eyguières;3.1;10.1
13037;La Fare-les-Oliviers;4.4;7.3
13050;Lambesc;4.3;9.2
13051;Lançon-Provence;4.5;7.3
13053;Mallemort;3.7;10.1
13074;Peyrolles-en-Provence;3.5;9.5
13078;Port-Saint-Louis-du-Rhône;3.9;21.2
13080;Le Puy-Sainte-Réparade;3.7;9.1
13084;La Roque-d'Anthéron;3.4;14.0
13088;Le Rove;5.2;8.8
13096;Saintes-Maries-de-la-Mer;7.6;20.8
13097;Saint-Martin-de-Crau;4.1;11.6
13100;Saint-Rémy-de-Provence;4.2;16.2
13104;Sausset-les-Pins;3.3;6.3
13105;Sénas;5.0;13.0
14020;Argences;3.1;9.1
14027;Les Monts d'Aunay;3.2;12.3
14047;Bayeux;3.5;10.4
14174;Condé-en-Normandie;3.5;13.6
14191;Courseulles-sur-Mer;3.8;7.5
14228;Douvres-la-Délivrande;4.2;6.5
14257;Évrecy;3.0;5.0
14258;Falaise;3.9;11.7
14333;Honfleur;3.5;11.6
14342;Isigny-sur-Mer;3.1;15.7
14371;Livarot-Pays-d'Auge;1.9;16.6
14431;Mézidon Vallée d'Auge;2.8;13.4
14478;Orbec;2.1;16.0
14488;Ouistreham;3.5;8.2
14514;Pont-l'Évêque;3.3;10.5
14654;Saint-Pierre-en-Auge;3.0;13.0
14689;Thury-Harcourt-le-Hom;2.8;9.4
14712;Troarn;5.2;7.3
14752;Villers-Bocage;3.5;9.9
14762;Vire Normandie;3.1;14.1
15119;Massiac;2.0;18.1
15120;Mauriac;4.1;17.3
15122;Maurs;2.6;16.9
15138;Murat;3.0;17.6
15162;Riom-ès-Montagnes;2.5;18.2
15187;Saint-Flour;3.6;14.5
15258;Vic-sur-Cère;5.2;12.1
16028;Barbezieux-Saint-Hilaire;2.6;14.6
16070;Chabanais;2.9;17.7
16073;Chalais;2.4;20.2
16078;Champniers;3.5;7.9
16085;Chasseneuil-sur-Bonnieure;2.7;18.9
16090;Châteauneuf-sur-Charente;2.1;11.2
16102;Cognac;3.7;12.0
16106;Confolens;3.5;22.5
16167;Jarnac;3.2;10.7
16206;Mansle-les-Fontaines;3.9;16.7
16281;La Rochefoucauld-en-Angoumois;3.2;13.1
16292;Ruffec;3.1;19.5
16366;Segonzac;2.6;10.9
17003;Aigrefeuille-d'Aunis;3.6;7.6
17024;Aulnay;2.3;18.5
17093;Le Château-d'Oléron;3.6;13.3
17131;Cozes;2.8;13.2
17140;Dolus-d'Oléron;4.5;12.1
17161;La Flotte;4.6;9.1
17168;Fouras;3.6;9.1
17172;Gémozac;3.7;12.9
17197;Jonzac;3.4;16.5
17218;Marans;3.1;10.1
17219;Marennes-Hiers-Brouage;3.7;13.3
17224;Matha;2.9;17.0
17236;Mirambeau;3.1;20.6
17240;Montendre;3.2;16.1
17241;Montguyon;2.9;17.2
17283;Pons;3.6;13.3
17347;Saint-Jean-d'Angély;3.1;15.5
17385;Saint-Pierre-d'Oléron;3.5;13.0
17397;Saint-Savinien;3.9;14.1
17421;Saujon;3.4;12.2
17434;Surgères;3.7;11.3
17452;La Tremblade;2.7;11.4
18015;Aubigny-sur-Nère;2.5;13.6
18057;Châteaumeillant;2.0;21.3
18087;Dun-sur-Auron;1.2;12.6
18108;La Guerche-sur-l'Aubois;2.0;17.3
18109;Henrichemont-Menetou-Salon;1.8;14.5
18127;Lignières;1.1;16.5
18141;Mehun-sur-Yèvre;2.3;9.1
18197;Saint-Amand-Montrond;1.9;16.7
18207;Saint-Florent-sur-Cher;2.0;11.8
18223;Saint-Martin-d'Auxigny;1.9;8.6
18242;Sancoins;2.2;21.1
18279;Vierzon;1.8;18.3
19010;Argentat-sur-Dordogne;4.6;16.7
19028;Bort-les-Orgues;3.2;15.6
19073;Égletons;7.5;16.2
19121;Lubersac;3.2;15.7
19138;Meyssac;3.6;14.7
19153;Objat;2.9;13.0
19255;Seilhac;2.9;11.0
19272;Tulle;2.8;12.6
19275;Ussel;2.3;14.3
19276;Uzerche;2.5;14.9
