annee,code_insee,commune,is_thierache_centre,apl_generalistes,apl_generalistes_moins65,pop_standardisee,pop_totale
2022,01001,L'Abergement-Clémenciat,False,1.89,1.828,810.855,806
2022,01002,L'Abergement-de-Varey,False,2.649,2.059,250.962,262
2022,01004,Ambérieu-en-Bugey,False,3.646,2.88,14002.685,14288
2022,01005,Ambérieux-en-Dombes,False,3.978,3.959,1733.232,1782
2022,01006,Ambléon,False,0.926,0.796,121.438,113
2022,01007,Ambronay,False,4.097,3.398,2717.709,2827
2022,01008,Ambutrix,False,3.526,2.94,727.861,768
2022,01009,Andert-et-Condon,False,3.921,3.532,342.427,324
2022,01010,Anglefort,False,1.96,1.867,1052.267,1101
2022,01011,Apremont,False,1.736,1.297,353.624,368
2022,01012,Aranc,False,1.127,1.127,342.266,327
2022,01013,Arandas,False,0.391,0.179,143.041,143
2022,01014,Arbent,False,2.552,2.076,3334.025,3336
2022,01015,Arboys en Bugey,False,2.856,2.414,684.917,663
2022,01016,Arbigny,False,1.893,1.893,454.142,458
2022,01017,Argis,False,1.172,0.538,449.526,445
2022,01019,Armix,False,0.0,0.0,27.471,26
2022,01021,Ars-sur-Formans,False,1.686,1.667,1426.93,1490
2022,01022,Artemare,False,3.188,3.058,1274.316,1213
2022,01023,Asnières-sur-Saône,False,1.18,1.164,76.292,76
2022,01024,Attignat,False,3.358,2.873,3180.709,3299
2022,01025,Bâgé-Dommartin,False,2.721,2.68,3922.788,4068
2022,01026,Bâgé-le-Châtel,False,3.422,3.365,1038.566,977
2022,01027,Balan,False,3.281,2.939,2317.555,2647
2022,01028,Baneins,False,1.887,1.772,602.074,625
2022,01029,Beaupont,False,2.836,1.929,680.981,683
2022,01030,Beauregard,False,3.728,3.464,789.821,821
2022,01031,Bellignat,False,3.167,2.324,3526.161,3671
2022,01032,Béligneux,False,1.698,1.439,3189.236,3414
2022,01033,Valserhône,False,1.871,1.656,15935.926,16434
2022,01034,Belley,False,3.822,3.328,9714.586,9207
2022,01035,Belleydoux,False,3.373,3.373,313.015,308
2022,01036,Valromey-sur-Séran,False,2.911,2.781,1418.09,1334
2022,01037,Bénonces,False,1.012,0.875,310.201,309
2022,01038,Bény,False,2.386,1.656,762.982,759
2022,01040,Béréziat,False,2.081,2.032,458.783,480
2022,01041,Bettant,False,3.741,2.988,748.247,748
2022,01042,Bey,False,2.381,2.273,279.702,291
2022,01043,Beynost,False,2.965,2.751,4756.252,4829
2022,01044,Billiat,False,0.993,0.851,595.2,628
2022,01045,Birieux,False,3.679,3.546,264.913,285
2022,01046,Biziat,False,1.8,1.769,872.094,912
2022,01047,Blyes,False,3.394,2.875,1156.955,1269
2022,01049,La Boisse,False,3.156,2.965,3223.945,3335
2022,01050,Boissey,False,1.416,1.416,358.264,380
2022,01051,Bolozon,False,0.489,0.415,101.951,91
2022,01052,Bouligneux,False,3.336,3.336,341.578,332
2022,01053,Bourg-en-Bresse,False,3.303,2.829,42551.305,41681
