code_insee,commune,apl_generalistes,apl_generalistes_moins65,pop_standardisee,pop_totale,annee
01001,L'Abergement-Clémenciat,1.942,1.881,838.154,832,2023
01002,L'Abergement-de-Varey,2.376,1.767,255.723,267,2023
01004,Ambérieu-en-Bugey,3.083,2.431,14575.887,14854,2023
01005,Ambérieux-en-Dombes,3.706,3.648,1852.496,1897,2023
01006,Ambléon,0.889,0.775,121.314,113,2023
01007,Ambronay,3.421,2.81,2730.746,2833,2023
01008,Ambutrix,3.135,2.502,727.545,768,2023
01009,Andert-et-Condon,3.834,3.49,338.529,322,2023
01010,Anglefort,2.035,1.943,1088.41,1125,2023
01011,Apremont,1.598,1.048,372.436,383,2023
01012,Aranc,1.131,1.131,329.977,327,2023
01013,Arandas,0.385,0.177,147.71,141,2023
01014,Arbent,2.29,1.845,3450.563,3409,2023
01015,Arboys en Bugey,2.739,2.341,687.064,667,2023
01016,Arbigny,1.932,1.932,453.487,459,2023
01017,Argis,1.154,0.531,439.666,432,2023
01019,Armix,0.0,0.0,27.866,26,2023
01021,Ars-sur-Formans,1.609,1.533,1437.154,1498,2023
01022,Artemare,3.183,3.068,1244.782,1177,2023
01023,Asnières-sur-Saône,1.228,1.206,78.061,77,2023
01024,Attignat,3.395,2.705,3293.407,3336,2023
01025,Bâgé-Dommartin,2.804,2.633,3925.809,4065,2023
01026,Bâgé-le-Châtel,3.498,3.306,1035.214,979,2023
01027,Balan,3.342,2.955,2373.769,2692,2023
01028,Baneins,1.852,1.732,600.756,621,2023
01029,Beaupont,2.691,1.819,689.188,700,2023
01030,Beauregard,3.519,3.19,800.092,830,2023
01031,Bellignat,2.979,2.008,3562.398,3636,2023
01032,Béligneux,1.733,1.398,3221.476,3434,2023
01033,Valserhône,1.912,1.703,15820.303,16295,2023
01034,Belley,3.715,3.265,9691.409,9239,2023
01035,Belleydoux,3.258,3.258,310.258,306,2023
01036,Valromey-sur-Séran,2.914,2.799,1427.953,1342,2023
01037,Bénonces,0.797,0.762,311.878,310,2023
01038,Bény,2.548,1.759,768.385,764,2023
01040,Béréziat,2.164,1.97,458.941,480,2023
01041,Bettant,3.176,2.398,749.893,749,2023
01042,Bey,2.464,2.356,279.994,290,2023
01043,Beynost,2.996,2.824,4797.941,4877,2023
01044,Billiat,1.028,0.888,592.826,626,2023
01045,Birieux,3.349,3.268,263.547,284,2023
01046,Biziat,1.795,1.765,858.847,904,2023
01047,Blyes,3.258,2.625,1181.287,1292,2023
01049,La Boisse,3.245,3.096,3252.704,3361,2023
01050,Boissey,1.495,1.423,363.14,386,2023
01051,Bolozon,0.477,0.419,98.384,95,2023
01052,Bouligneux,3.027,3.027,348.77,327,2023
01053,Bourg-en-Bresse,3.201,2.741,42370.862,41525,2023
01054,Bourg-Saint-Christophe,2.176,1.655,1406.62,1517,2023
01056,Boyeux-Saint-Jérôme,0.693,0.542,356.723,356,2023
01057,Boz,1.664,1.664,492.623,510,2023
01058,Brégnier-Cordon,1.169,0.877,815.442,818,2023
01060,Brénod,1.256,1.215,551.56,518,2023
01061,Brens,3.499,2.997,1119.574,1129,2023
01062,Bressolles,2.206,1.93,936.615,978,2023
01063,Brion,2.969,1.548,585.203,576,2023
01064,Briord,2.237,1.959,1019.2,1099,2023
01065,Buellas,2.436,2.217,1853.983,1851,2023
01066,La Burbanche,0.229,0.229,92.837,95,2023
01067,Ceignes,1.702,1.0,246.592,261,2023
01068,Cerdon,1.94,1.395,801.053,761,2023
01069,Certines,3.47,3.135,1450.724,1505,2023
01071,Cessy,2.573,2.481,4886.694,5307,2023
01072,Ceyzériat,3.567,3.178,3299.356,3285,2023
01073,Ceyzérieu,4.835,4.514,1026.237,992,2023
01074,Chalamont,2.692,2.363,2549.656,2559,2023
01075,Chaleins,2.303,2.054,1344.363,1430,2023
01076,Chaley,0.962,0.755,140.286,124,2023
01077,Challes-la-Montagne,0.794,0.539,193.536,189,2023
01078,Challex,1.35,1.035,1610.759,1619,2023
01079,Champagne-en-Valromey,2.024,2.024,927.112,826,2023
01080,Champdor-Corcelles,1.697,1.697,653.173,645,2023
01081,Champfromier,1.085,1.015,729.561,718,2023
01082,Chanay,0.642,0.642,573.426,616,2023
01083,Chaneins,2.215,1.957,946.31,1003,2023
01084,Chanoz-Châtenay,1.733,1.703,888.433,931,2023
01085,La Chapelle-du-Châtelard,2.761,2.71,376.873,394,2023
01087,Charix,0.442,0.135,281.039,279,2023
01088,Charnoz-sur-Ain,2.71,2.08,864.635,898,2023
01089,Château-Gaillard,4.295,3.623,2151.765,2287,2023
01090,Châtenay,1.455,1.274,360.443,360,2023
