code;deces_domicilies_2024;part_75_ans_plus;taux_pauvrete;revenu_median;part_sans_diplome;part_ouvriers;part_familles_monoparentales;part_moins_15_ans;taille_menage;part_locataires;part_locataires_HLM;part_suroccupation;part_residences_principales;part_appartements;part_maisons;densite_population;part_benef_ophtalmo;apl_generaliste;densite_orthophonistes;densite_generalistes;densite_infirmiers;densite_sages_femmes;part_benef_ald;densite_pharmacies;libelle
01004;422;8.4;11.1;23250.0;18.1;24.1;14.4;19.6;2.24;35.4;12.1;0.3;85.9;28.3;70.7;105.2;35.3;3.0;24.7;9.0;17.3;2.8;;2.3;Ambérieu-en-Bugey
01033;229;7.4;13.0;26910.0;19.4;25.3;14.5;19.8;2.29;39.0;19.0;0.2;83.0;44.6;55.0;88.7;26.2;1.8;20.1;3.4;8.0;2.7;13.7;2.3;Valserhône
01034;314;11.6;12.5;22620.0;21.1;25.1;14.6;17.0;2.14;31.6;10.8;0.2;78.1;25.7;73.4;60.9;30.8;3.3;31.1;8.6;21.0;1.5;;3.1;Belley
01053;774;10.9;14.8;23030.0;19.8;22.1;16.7;17.4;2.09;44.9;21.9;0.5;90.1;51.3;48.1;210.9;30.3;3.1;25.6;7.1;16.1;2.7;18.8;2.9;Bourg-en-Bresse
01072;197;10.4;7.4;24780.0;16.0;28.1;13.6;18.3;2.29;24.2;8.0;0.1;85.3;13.7;85.4;66.8;30.8;3.0;16.5;8.8;17.1;3.3;16.4;2.2;Ceyzériat
01093;199;10.8;8.0;24160.0;20.2;23.4;10.8;18.7;2.29;30.6;9.4;0.1;89.5;26.0;73.5;62.1;24.5;2.0;28.8;4.0;15.6;3.4;;1.7;Châtillon-sur-Chalaronne
01138;90;9.8;10.5;23500.0;18.8;31.2;13.5;18.7;2.2;28.4;13.1;0.7;76.6;22.4;76.8;79.8;29.8;3.5;41.4;11.4;16.6;8.2;17.0;2.1;Culoz-Béon
01143;71;8.6;7.8;47460.0;9.5;8.7;15.4;20.7;2.21;37.4;10.3;0.8;71.2;67.0;32.0;270.0;22.3;2.1;9.0;7.2;4.5;5.1;9.1;1.8;Divonne-les-Bains
01160;74;5.1;17.8;35650.0;11.1;12.5;16.6;21.4;2.21;51.1;17.6;0.7;82.1;74.5;24.5;1134.5;15.4;1.8;7.8;3.9;0.8;1.5;7.1;2.4;Ferney-Voltaire
01173;127;4.7;9.4;38740.0;11.5;15.3;15.1;21.4;2.29;44.1;17.8;0.6;81.0;59.0;40.4;242.7;20.2;2.4;10.6;3.2;1.8;0.7;7.8;2.1;Gex
01185;125;13.2;12.2;22800.0;18.8;20.7;14.1;14.6;1.97;33.1;11.5;0.2;68.7;29.9;69.2;24.7;31.4;1.5;54.7;4.4;33.9;4.3;;4.4;Plateau d'Hauteville
01202;129;9.6;7.9;24460.0;18.7;36.7;14.0;18.6;2.2;33.4;11.5;0.1;88.4;30.2;68.8;131.5;35.6;2.8;23.2;7.0;17.0;6.1;17.2;2.3;Lagnieu
01244;160;6.9;6.2;26310.0;14.8;19.1;13.5;21.0;2.42;28.6;9.9;0.2;91.4;22.6;76.7;150.9;34.7;2.8;53.4;6.2;16.0;4.9;14.7;1.6;Meximieux
01262;185;7.1;8.2;25340.0;17.5;21.9;13.4;20.4;2.49;32.0;12.7;0.3;92.8;32.1;67.1;200.0;31.9;3.1;31.4;5.5;15.7;1.6;14.3;2.0;Montluel
01265;170;8.3;13.6;22970.0;24.2;39.4;14.0;18.6;2.3;39.7;17.9;0.3;83.8;37.9;61.7;73.2;31.0;1.8;10.6;3.7;12.7;3.2;14.8;2.7;Montréal-la-Cluse
01266;171;9.7;7.3;23740.0;19.0;29.7;10.6;18.6;2.28;25.9;8.1;0.1;89.7;17.5;82.0;69.5;30.4;2.5;13.5;5.8;14.4;1.8;17.1;2.2;Montrevel-en-Bresse
01283;381;9.1;19.2;21250.0;31.0;34.4;13.2;19.1;2.28;44.9;27.7;1.0;83.7;47.1;51.8;87.9;32.5;2.5;4.4;4.6;11.2;0.9;17.4;3.1;Oyonnax
01304;57;9.3;10.2;23640.0;19.6;33.7;15.3;18.7;2.26;26.7;6.6;0.5;83.1;21.2;78.6;117.0;34.3;3.6;42.8;17.1;12.8;0.0;18.4;2.1;Pont-d'Ain
01305;260;11.6;9.7;23080.0;22.5;28.6;11.0;17.5;2.2;24.3;5.2;0.1;84.4;14.4;84.9;54.4;27.2;2.2;41.5;6.0;16.6;2.8;;2.8;Pont-de-Vaux
01333;64;7.5;5.0;26740.0;14.0;17.8;11.0;18.9;2.4;24.1;11.0;0.3;93.8;25.6;74.1;105.6;29.7;3.2;74.2;6.5;14.8;3.7;16.6;2.8;Saint-André-de-Corcy
01354;134;5.0;13.2;37680.0;10.7;14.2;13.1;22.3;2.37;40.1;12.3;0.4;88.2;51.7;47.6;248.7;17.0;1.6;22.5;3.1;2.3;6.3;7.3;1.7;Saint-Genis-Pouilly
01443;88;10.7;7.6;24970.0;18.0;25.7;12.3;19.8;2.31;32.3;12.2;0.5;89.1;29.7;68.4;47.9;27.5;2.9;54.9;9.9;18.7;4.3;16.5;2.2;Villars-les-Dombes
