CartoSanté; ; 
Référentiel géographique : France par bassin de vie / canton-ville; ; 
Code;Libellé;APL Médecins généralistes 2023
01004;Ambérieu-en-Bugey;3
0102;Attignat;2.5
0103;Valserhône;3.2
01033;Valserhône;1.8
01034;Belley;3.3
0105;Bourg-en-Bresse-1;4.3
0106;Bourg-en-Bresse-2;3.1
0107;Ceyzériat;2.8
01072;Ceyzériat;3
0108;Châtillon-sur-Chalaronne;2.2
01093;Châtillon-sur-Chalaronne;2
0111;Lagnieu;1.2
0112;Meximieux;3
0113;Miribel;3
01138;Culoz-Béon;3.5
0114;Nantua;2.4
01143;Divonne-les-Bains;2.1
0115;Oyonnax;2.6
0116;Pont-d'Ain;1.7
0117;Replonges;3.3
01173;Gex;2.4
0118;Saint-Étienne-du-Bois;2
01185;Plateau d'Hauteville;1.5
0119;Saint-Genis-Pouilly;1.9
0120;Thoiry;1.4
01202;Lagnieu;2.8
0121;Trévoux;3.7
0122;Villars-les-Dombes;2.9
0123;Vonnas;3.5
01244;Meximieux;2.8
01265;Montréal-la-Cluse;1.8
01266;Montrevel-en-Bresse;2.5
01304;Pont-d'Ain;3.6
01305;Pont-de-Vaux;2.2
01333;Saint-André-de-Corcy;3.2
01443;Villars-les-Dombes;2.9
01457;Vonnas;2
0199;Bourg-en-Bresse;3.2
0201;Bohain-en-Vermandois;2.4
0205;Fère-en-Tardenois;2.9
0206;Villeneuve-sur-Aisne;2.9
02095;Bohain-en-Vermandois;3.1
0212;Ribemont;4
0213;Saint-Quentin-1;2.7
0214;Saint-Quentin-2;2.9
0215;Saint-Quentin-3;4.5
0216;Soissons-1;3.5
02163;Charly-sur-Marne;1.6
02168;Château-Thierry;3.4
0217;Soissons-2;3.3
02173;Chauny;2.4
0220;Vic-sur-Aisne;2
0221;Villers-Cotterêts;2.1
02305;Fère-en-Tardenois;2.7
02360;Villeneuve-sur-Aisne;3.4
02361;Guise;3.9
02381;Hirson;3.3
02408;Laon;2.9
02468;Marle;3.3
02502;Montcornet;3.2
02558;Le Nouvion-en-Thiérache;3.5
02738;Tergnier;2.4
02789;Vervins;2.8
02810;Villers-Cotterêts;2.2
0298;Saint-Quentin;5.1
0299;Soissons;3.4
0301;Bellerive-sur-Allier;3.4
0302;Bourbon-l'Archambault;2
0303;Commentry;3.3
03036;Bourbon-l'Archambault;3.2
0304;Cusset;3.8
0305;Dompierre-sur-Besbre;4.4
0307;Huriel;1.6
0308;Lapalisse;3.6
03082;Commentry;3.3
0309;Montluçon-1;2.8
0310;Montluçon-2;3.5
03102;Dompierre-sur-Besbre;2.9
0311;Montluçon-3;3
03118;Gannat;3.1
0312;Montluçon-4;2.7
0313;Moulins-1;3.9
03138;Lapalisse;1.9
0314;Moulins-2;2.9
0315;Saint-Pourçain-sur-Sioule;3
0316;Souvigny;3.2
0317;Vichy-1;2.9
0318;Vichy-2;3
03186;Montmarault;2.4
0319;Yzeure;3.8
03254;Saint-Pourçain-sur-Sioule;3.2
03298;Varennes-sur-Allier;2.9
0397;Montluçon;3.3
0398;Moulins;4.4
0399;Vichy;3.5
04019;Barcelonnette;5.2
0402;Castellane;4.3
04049;Château-Arnoux-Saint-Auban;3.9
0407;Manosque-1;3.7
04070;Digne-les-Bains;2.3
0408;Manosque-2;4.1
04088;Forcalquier;3.4
0409;Manosque-3;3.7
04094;Gréoux-les-Bains;4
0410;Oraison;2.7
0411;Reillanne;4.1
0413;Seyne;0.7
04143;Oraison;3.6
04166;Riez;3.9
04173;Saint-André-les-Alpes;4.3
04209;Sisteron;3.5
0499;Manosque;4.3
05006;L'Argentière-la-Bessée;3.9
05023;Briançon;6.1
0504;Chorges;3.2
05040;Chorges;3.7
05046;Embrun;5.5
05065;Guillestre;6.7
05070;Laragne-Montéglin;2.1
0512;Saint-Bonnet-en-Champsaur;6.6
05132;Saint-Bonnet-en-Champsaur;5.7
0514;Tallard;4.1
0515;Veynes;4.4
05170;Tallard;3.4
05179;Veynes;4.2
0599;Gap;5.2
0601;Antibes-1;3.3
0603;Antibes-3;3.1
0604;Beausoleil;4.1
0606;Cagnes-sur-Mer-2;3.8
0609;Le Cannet;5.5
06099;Puget-Théniers;2.4
0610;Contes;3.4
0611;Grasse-1;3.8
0612;Grasse-2;7
0613;Mandelieu-la-Napoule;4.3
0614;Menton;3.4
0617;Nice-3;3.1
0621;Nice-7;4.8
0624;Tourrette-Levens;3.9
0625;Valbonne;4.2
0626;Vence;3.4
0627;Villeneuve-Loubet;4.3
0694;Antibes;4.9
0695;Cagnes-sur-Mer;5
0696;Cannes;4.7
0697;Le Cannet;4.3
0698;Grasse;3.7
0699;Nice;4.8
07010;Annonay;3.1
0703;Aubenas-1;2.9
0704;Aubenas-2;2.8
07042;Bourg-Saint-Andéol;2.1
0705;Bourg-Saint-Andéol;3
07064;Le Cheylard;4.7
0707;Guilherand-Granges;3.8
