Insee - Statistiques locales; ; 
Référentiel géographique : France par bassin de vie; ; 
Code;Libellé;Taux de pauvreté 2021
01004;Ambérieu-en-Bugey;11.1
01033;Valserhône;13
01034;Belley;12.5
01053;Bourg-en-Bresse;14.8
01072;Ceyzériat;7.4
01093;Châtillon-sur-Chalaronne;8
01138;Culoz-Béon;10.5
01143;Divonne-les-Bains;7.8
01160;Ferney-Voltaire;17.8
01173;Gex;9.4
01185;Plateau d'Hauteville;12.2
01202;Lagnieu;7.9
01244;Meximieux;6.2
01262;Montluel;8.2
01265;Montréal-la-Cluse;13.6
01266;Montrevel-en-Bresse;7.3
01283;Oyonnax;19.2
01304;Pont-d'Ain;10.2
01305;Pont-de-Vaux;9.7
01333;Saint-André-de-Corcy;5
01354;Saint-Genis-Pouilly;13.2
01443;Villars-les-Dombes;7.6
01457;Vonnas;8.5
02095;Bohain-en-Vermandois;23.2
02163;Charly-sur-Marne;12.5
02168;Château-Thierry;15.7
02173;Chauny;17.8
02305;Fère-en-Tardenois;16.9
02360;Villeneuve-sur-Aisne;8.3
02361;Guise;21.9
02381;Hirson;25.9
02408;Laon;18.6
02468;Marle;21.1
02502;Montcornet;21.2
02558;Le Nouvion-en-Thiérache;20.1
02691;Saint-Quentin;21.4
02722;Soissons;18.4
02738;Tergnier;20.1
02789;Vervins;21.5
02810;Villers-Cotterêts;11.9
03036;Bourbon-l'Archambault;18.6
03082;Commentry;15.9
03102;Dompierre-sur-Besbre;13.9
03118;Gannat;12.6
03138;Lapalisse;19.9
03185;Montluçon;17.8
03186;Montmarault;19.3
03190;Moulins;14.7
03254;Saint-Pourçain-sur-Sioule;13.1
03298;Varennes-sur-Allier;15
03310;Vichy;16.1
04019;Barcelonnette;16.3
04049;Château-Arnoux-Saint-Auban;15.4
04070;Digne-les-Bains;16.5
04088;Forcalquier;18.6
04094;Gréoux-les-Bains;13.6
04112;Manosque;16.2
04143;Oraison;13.8
04166;Riez;19.2
04173;Saint-André-les-Alpes;21.2
04209;Sisteron;16.7
05006;L'Argentière-la-Bessée;16.5
05023;Briançon;14.1
05040;Chorges;14.2
05046;Embrun;14.3
05061;Gap;14.2
05065;Guillestre;15
05070;Laragne-Montéglin;17.2
05132;Saint-Bonnet-en-Champsaur;15.2
05170;Tallard;13.3
05179;Veynes;20.1
06029;Cannes;14.9
06033;Carros;12.7
06048;Contes;10.3
06083;Menton;16.1
06088;Nice;18
06099;Puget-Théniers;19.5
07010;Annonay;13
07019;Aubenas;17.3
07042;Bourg-Saint-Andéol;18
07064;Le Cheylard;14.8
07110;Joyeuse;22
07129;Lamastre;19.3
07132;Largentière;20.5
07186;Privas;14
07201;Ruoms;15
07324;Tournon-sur-Rhône;12.1
07330;Vallon-Pont-d'Arc;16.4
07334;Les Vans;22.6
07338;Vernoux-en-Vivarais;20.7
07341;Villeneuve-de-Berg;15.6
07349;La Voulte-sur-Rhône;12
08090;Carignan;20.9
08105;Charleville-Mézières;20.3
08185;Fumay;21.1
08190;Givet;19.8
08302;Monthermé;18
08328;Nouzonville;22.5
08362;Rethel;14.1
08363;Revin;21.4
08409;Sedan;20.7
08490;Vouziers;17.3
09122;Foix;18.7
09160;Lavelanet;22.1
09167;Lézat-sur-Lèze;15.4
09185;Mazères;13
09194;Mirepoix;20.3
09225;Pamiers;16
09261;Saint-Girons;23.5
09282;Saverdun;13.5
09306;Tarascon-sur-Ariège;18.5
10003;Aix-Villemaur-Pâlis;13.6
10006;Arcis-sur-Aube;11.9
10033;Bar-sur-Aube;16.1
10034;Bar-sur-Seine;14.4
10064;Brienne-le-Château;13
10268;Nogent-sur-Seine;13.5
10323;Romilly-sur-Seine;18.4
10387;Troyes;17.8
11049;Bram;17.4
11069;Carcassonne;21.4
11076;Castelnaudary;16.3
11106;Coursan;17.3
11203;Lézignan-Corbières;21.5
11206;Limoux;20.4
11262;Narbonne;21
11266;Port-la-Nouvelle;23.1
11304;Quillan;29.6
11379;Sigean;19
11397;Trèbes;21.2
12052;Capdenac-Gare;13.2
12056;Baraqueville;10.1
12089;Decazeville;18.3
12096;Espalion;13.6
12119;Laguiole;19.1
12120;Laissac-Sévérac l'Église;12.9
12133;Luc-la-Primaube;10.7
12138;Marcillac-Vallon;11.3
12145;Millau;15.2
12148;Montbazens;13.2
12169;Naucelle;15.3
12197;Réquista;20.7
12198;Rieupeyroux;18.2
12199;Rignac;10.6
12202;Rodez;12.3
12208;Saint-Affrique;16.4
12224;Saint Geniez d'Olt et d'Aubrac;16.8
12270;Sévérac d'Aveyron;14.1
12300;Villefranche-de-Rouergue;16.7
