Commune,Code_INSEE,Code_postal
Autreppes,02040,02580
Bancigny,02044,02140
Barzy-en-Thiérache,02050,02170
Bergues-sur-Sambre,02067,02450
Berlancourt,02068,02250
La Bouteille,02109,02140
Boué,02103,02450
Braye-en-Thiérache,02116,02140
Buironfosse,02135,02620
Burelles,02136,02140
La Capelle,02141,02260
Chevennes,02182,02250
Clairfontaine,02197,02260
Colonfay,02206,02120
Dorengt,02269,02450
Englancourt,02276,02260
Erloy,02284,02260
Esquéhéries,02286,02170
Fesmy-le-Sart,02308,02450
La Flamengrie,02312,02260
Fontaine-lès-Vervins,02321,02140
Fontenelle,02324,02140
Franqueville,02331,02140
Froidestrées,02337,02260
Gercy,02341,02140
Gergny,02342,02260
Gronard,02357,02140
Harcigny,02369,02140
Hary,02373,02140
Haution,02377,02140
Houry,02384,02140
Housset,02385,02250
Laigny,02401,02140
Landifay-et-Bertaignemont,02403,02120
Landouzy-la-Cour,02404,02140
Lemé,02416,02140
Lerzy,02418,02260
Leschelle,02419,02170
Lugny,02444,02140
Luzoir,02445,02500
Marfontaine,02463,02140
Monceau-le-Neuf-et-Faucouzy,02491,02270
Nampcelles-la-Cour,02535,02140
Neuville-Housset,02547,02250
Neuville-lès-Dorengt,02548,02450
Le Nouvion-en-Thiérache,02558,02170
Papleux,02584,02260
Plomion,02608,02140
Sains-Richaumont,02668,02120
Saint-Algis,02670,02260
Saint-Gobert,02681,02140
Saint-Pierre-lès-Franqueville,02688,02140
Sommeron,02725,02260
Sorbais,02728,02580
Sourd,02731,02140
Thenailles,02740,02140
Vallée-au-Blé,02759,02140
Vervins,02789,02140
Voharies,02823,02140
Étréaupont,02295,02580
Le Hérie-la-Viéville,02379,02120
Prisces,02623,02140
Puisieux-et-Clanlieu,02629,02120
Rocquigny,02650,02260
Rogny,02652,02140
Rougeries,02657,02140
Voulpaix,02826,02140
Wiège-Faty,02832,02120
