CartoSanté; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par bassin de vie; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des bénéf. ophtalmo. dans pop. 2024;APL Médecins généralistes 2023;Densité d'orthophonistes lib. 2024;Densité de généralistes lib. 2024;Densité d'infirmiers lib. 2024;Densité de sages-femmes lib. 2024;Part des bénéf. en ALD dans la pop 2024;Densité des pharmacies pour 10 000 hab. 2024
01004;Ambérieu-en-Bugey;35.3;3;24.7;9;17.3;2.8;N/A - secret statistique;2.3
01033;Valserhône;26.2;1.8;20.1;3.4;8;2.7;13.7;2.3
01034;Belley;30.8;3.3;31.1;8.6;21;1.5;N/A - secret statistique;3.1
01053;Bourg-en-Bresse;30.3;3.1;25.6;7.1;16.1;2.7;18.8;2.9
01072;Ceyzériat;30.8;3;16.5;8.8;17.1;3.3;16.4;2.2
01093;Châtillon-sur-Chalaronne;24.5;2;28.8;4;15.6;3.4;N/A - secret statistique;1.7
01138;Culoz-Béon;29.8;3.5;41.4;11.4;16.6;8.2;17;2.1
01143;Divonne-les-Bains;22.3;2.1;9;7.2;4.5;5.1;9.1;1.8
01160;Ferney-Voltaire;15.4;1.8;7.8;3.9;0.8;1.5;7.1;2.4
01173;Gex;20.2;2.4;10.6;3.2;1.8;0.7;7.8;2.1
01185;Plateau d'Hauteville;31.4;1.5;54.7;4.4;33.9;4.3;N/A - secret statistique;4.4
01202;Lagnieu;35.6;2.8;23.2;7;17;6.1;17.2;2.3
01244;Meximieux;34.7;2.8;53.4;6.2;16;4.9;14.7;1.6
01262;Montluel;31.9;3.1;31.4;5.5;15.7;1.6;14.3;2
01265;Montréal-la-Cluse;31;1.8;10.6;3.7;12.7;3.2;14.8;2.7
01266;Montrevel-en-Bresse;30.4;2.5;13.5;5.8;14.4;1.8;17.1;2.2
01283;Oyonnax;32.5;2.5;4.4;4.6;11.2;0.9;17.4;3.1
01304;Pont-d'Ain;34.3;3.6;42.8;17.1;12.8;0;18.4;2.1
01305;Pont-de-Vaux;27.2;2.2;41.5;6;16.6;2.8;N/A - secret statistique;2.8
01333;Saint-André-de-Corcy;29.7;3.2;74.2;6.5;14.8;3.7;16.6;2.8
01354;Saint-Genis-Pouilly;17;1.6;22.5;3.1;2.3;6.3;7.3;1.7
01443;Villars-les-Dombes;27.5;2.9;54.9;9.9;18.7;4.3;16.5;2.2
01457;Vonnas;25.9;2;25.8;3.4;14.6;1.7;16.3;1.7
02095;Bohain-en-Vermandois;20.5;3.1;4.2;6.7;14.7;0.8;17.8;3.4
02163;Charly-sur-Marne;20.2;1.6;0;3.3;14.3;2.1;17.2;2.2
02168;Château-Thierry;21.2;3.4;18.5;6.7;13.9;0.9;N/A - secret statistique;3
02173;Chauny;23.8;2.4;9.3;6.2;15.9;1.2;21.6;3.7
02305;Fère-en-Tardenois;18.3;2.7;17.5;7;17.5;0;18.5;3.5
02360;Villeneuve-sur-Aisne;16.9;3.4;47.3;6.3;14.2;3.1;N/A - secret statistique;3.2
02361;Guise;21.8;3.9;0;6.8;22.3;2.7;N/A - secret statistique;3.2
02381;Hirson;21.1;3.3;22.6;7.5;13.6;0;18.6;4.1
02408;Laon;21.9;2.9;17.4;5.1;14;1.6;18.7;2.8
02468;Marle;19.6;3.3;37.6;7.5;18.8;0;N/A - secret statistique;3.8
02502;Montcornet;17.1;3.2;21.3;8.5;19.1;0;19.3;4.3
02558;Le Nouvion-en-Thiérache;22;3.5;32.2;7.7;26.4;0;19.1;4.5
02691;Saint-Quentin;25.6;4.4;21.3;8.6;20.4;1.3;18.4;3.6
02722;Soissons;18.9;3.2;27.7;7;17.3;2.1;18.2;3.2
02738;Tergnier;19.8;2.4;10.3;3.8;19.2;0.5;16.3;2.8
02789;Vervins;21.2;2.8;43.8;6.6;15.3;2.2;18.8;2.2
02810;Villers-Cotterêts;21.8;2.2;6.7;5;8;0.7;16.3;2.3
03036;Bourbon-l'Archambault;18.3;3.2;28.2;12.7;21.2;0;20.7;4.2
03082;Commentry;29.8;3.3;0;8.3;27.8;0.9;23.2;4.2
03102;Dompierre-sur-Besbre;25.8;2.9;10.1;7.1;19.2;2;22.6;4.1
03118;Gannat;27.7;3.1;15.9;8.4;17.5;0.8;19.9;3.2
03138;Lapalisse;32.4;1.9;0;4.1;24.2;2.7;21.7;3.5
03185;Montluçon;31.2;2.8;10.5;6.1;20;1.8;22;3.8
03186;Montmarault;25.6;2.4;31.9;9.6;22.4;6.4;21.9;3.2
03190;Moulins;20.8;3.8;23.7;9;16.6;3;22.5;4.3
03254;Saint-Pourçain-sur-Sioule;25.1;3.2;0;8.1;15.5;2.4;22.3;1.9
03298;Varennes-sur-Allier;29.4;2.9;0;5.7;12.9;0;21.3;2.9
03310;Vichy;31.5;3.4;16.3;7.8;18.3;1.4;21.3;3.6
04019;Barcelonnette;24.6;5.2;90.7;13.6;25.7;6.1;18.8;7.6
04049;Château-Arnoux-Saint-Auban;30.7;3.9;44.8;10.1;21.3;4.4;24;3.4
04070;Digne-les-Bains;25.6;2.3;29.2;6.6;29.2;2.8;19.7;3.3
04088;Forcalquier;28;3.4;70.7;11.2;27.1;3.4;N/A - secret statistique;2.9
04094;Gréoux-les-Bains;30.9;4;38.7;14.2;21.3;1.3;20.6;3.2
04112;Manosque;31.8;3.9;29.4;9.3;21.3;3.3;18.7;2.9
04143;Oraison;30.7;3.6;12.1;4.8;26.7;2.3;19.8;2.4
04166;Riez;29.3;3.9;19.4;8.7;20.3;1.9;21.4;2.9
04173;Saint-André-les-Alpes;23.9;4.3;31.6;11.6;17.9;2.1;19.7;6.3
04209;Sisteron;29.4;3.5;28.9;7.5;19.1;2.3;20.2;3.5
05006;L'Argentière-la-Bessée;21.9;3.9;54.9;11;18.3;3.7;18.6;3.7
05023;Briançon;20.3;6.1;57;13.5;18.1;3.1;18.9;5.2
05040;Chorges;27.6;3.7;32.2;12.1;27.4;1.6;18.6;3.2
05046;Embrun;27;5.5;52.5;12.8;26.3;2.9;20;3.8
05061;Gap;29.6;5.1;62.6;13.1;22.5;2.1;19.5;3.1
05065;Guillestre;24.8;6.7;50.3;16.3;32.7;7.5;17.9;6.3
05070;Laragne-Montéglin;31.5;2.1;36;6;20.4;0;22.2;2.4
05132;Saint-Bonnet-en-Champsaur;29.1;5.7;25.9;15.6;29.8;5.2;20;5.2
05170;Tallard;28.7;3.4;14.5;8.7;23.2;5.7;N/A - secret statistique;2.9
05179;Veynes;27.9;4.2;54.3;9;31.7;3.6;20.9;4.5
06029;Cannes;36.2;4.4;40.4;11;22.7;1.9;19.8;3.9
06033;Carros;30;3.7;24.6;7.6;15.7;2.2;17.1;2.7
06048;Contes;30.1;2.8;74.3;8.6;27.4;0;18;2.9
06083;Menton;24.3;3.5;29.6;9.6;19.2;0.7;17.6;4.1
06088;Nice;31.7;4.6;53.9;11.5;26.5;2.8;19.6;4
06099;Puget-Théniers;20.5;2.4;32.8;4.4;20.7;0;15.9;6.6
07010;Annonay;26.2;3.1;22.2;4.4;16.2;2.4;18.8;3.2
07019;Aubenas;27.1;3.1;36.2;7.4;24.6;2.8;N/A - secret statistique;3.1
07042;Bourg-Saint-Andéol;27.9;2.1;7.7;7;14.7;4.5;16.8;2.3
07064;Le Cheylard;24;4.7;43.8;12;17.5;0;23.4;3.3
07110;Joyeuse;29.6;3.6;39.8;7;19.9;1.9;20.4;4
07129;Lamastre;27.3;2.5;26.5;8;17.3;0;19.5;1.3
07132;Largentière;32.2;2.6;19.5;5.8;17.5;3.8;19.4;3.9
07186;Privas;21.7;1.9;22.7;4.5;16.5;3.2;23.5;3.2
07201;Ruoms;33.6;3.8;16.1;12.9;33.8;3;23.5;3.2
07324;Tournon-sur-Rhône;28.3;3.2;35.2;8;17.4;1.8;16.9;2.3
07330;Vallon-Pont-d'Arc;29.8;3.3;19;9.5;30.3;0;19.5;1.9
07334;Les Vans;27;3.8;10.6;10.6;30.8;4.1;20.1;3.2
07338;Vernoux-en-Vivarais;27.8;2.8;55.9;8.4;25.2;5.5;20.8;2.8
07341;Villeneuve-de-Berg;27.3;2.5;77.9;7.8;23.4;7.4;16.9;1.9
07349;La Voulte-sur-Rhône;29.6;2.5;27.1;6.1;18.9;1.3;16.6;2.7
08090;Carignan;26.1;2.9;31.5;5.2;13.6;2.1;18;5.2
08105;Charleville-Mézières;34;3.9;32.5;7.8;17.5;2.2;N/A - secret statistique;3.7
08185;Fumay;24.9;2.6;35.6;5.3;16;0;19.7;7.1
08190;Givet;12.4;3.4;63.7;7.1;19.1;1.4;N/A - secret statistique;3.5
08302;Monthermé;32.1;2.3;0;4.9;19.7;0;20.8;6.6
08328;Nouzonville;34.2;2.5;24.6;2.5;17.2;0;20.7;2.5
08362;Rethel;16.5;3.7;18.9;7;12.9;1.1;17.1;3.5
08363;Revin;28.3;3;46.9;4.7;19.4;5.3;19.4;3.4
08409;Sedan;29.7;3.3;31.5;6.5;18.7;2.7;19.2;4.1
08490;Vouziers;20.8;3.8;23.6;10.1;18.9;1.2;19.2;4.7
09122;Foix;28.7;4.4;51.1;11.6;23.2;5.4;20;4.2
09160;Lavelanet;28.2;3.1;28.7;4.8;30.6;0.9;23.5;2.9
09167;Lézat-sur-Lèze;26.9;4.2;80.2;15;37.1;4;N/A - secret statistique;4
09185;Mazères;29.2;3.5;22.3;8.9;25.7;4.3;17.5;3.4
09194;Mirepoix;28.3;2.5;40.6;5.4;17.6;0;19.9;4.1
09225;Pamiers;29.7;4.5;24.1;8.3;27.6;3;17.1;2.2
09261;Saint-Girons;21.8;3.3;37.6;7.5;21.4;2.2;18.7;3
09282;Saverdun;28.7;3;0;9;30.5;3.5;N/A - secret statistique;1.8
09306;Tarascon-sur-Ariège;27.7;3.4;26.2;9.2;28.8;1.3;19.7;3.3
10003;Aix-Villemaur-Pâlis;26.5;2.2;33.3;3.3;12;0;N/A - secret statistique;2
10006;Arcis-sur-Aube;28.3;2.5;21.6;4.3;10.1;3;15.4;2.2
10033;Bar-sur-Aube;26.4;2.3;14.2;5.7;13.5;1.4;19.8;4.3
10034;Bar-sur-Seine;22.9;2.5;17.5;5.8;16.9;2.3;18.3;3.5
10064;Brienne-le-Château;26.5;3.1;10.1;4;11.1;2.1;21.3;3
10268;Nogent-sur-Seine;30.7;2.3;12.5;3.1;11.3;2.5;N/A - secret statistique;2.5
10323;Romilly-sur-Seine;32.8;2.7;7.9;4.5;12.4;1;18;2.9
10387;Troyes;25.2;3.7;23;7.2;11.9;2;16.3;2.5
11049;Bram;23.2;2.8;31.5;6.3;23.9;0;16.7;3.8
11069;Carcassonne;23.5;3.4;25;7.6;23.2;2.5;19.8;3.8
11076;Castelnaudary;26.4;2.9;25.1;5.4;18.4;4.2;16.3;2.9
11106;Coursan;35.6;3.3;15.3;13;26.7;1.5;23;3.8
11203;Lézignan-Corbières;31.9;3.7;29;7.9;24.5;2.1;20.4;4.5
11206;Limoux;25.3;2.9;23.2;5.8;27;2.2;22.6;2.7
11262;Narbonne;33.2;4.2;29.4;9.7;25.6;2.2;20;3.4
11266;Port-la-Nouvelle;34.6;3.1;17;0;22.1;3.2;26.9;5.1
11304;Quillan;23.2;2.7;42.2;7;31.7;2.8;24.2;5.6
11379;Sigean;34.7;3.3;16.4;9;27.8;1.6;21.1;4.1
11397;Trèbes;23.4;4.1;0;9.4;20;2.3;N/A - secret statistique;3.5
12052;Capdenac-Gare;30.9;2.6;24.8;3.7;24.8;0;20.2;2.5
12056;Baraqueville;30.5;3;39.7;6.6;30.4;0;15.8;2.6
12089;Decazeville;32.4;3.5;10.3;7.2;22.7;0;23;4.6
12096;Espalion;28.2;3.8;41.4;10.6;37.8;2.3;21.5;4.7
12119;Laguiole;27.7;3.9;18;9.9;24.4;1.8;N/A - secret statistique;6.3
12120;Laissac-Sévérac l'Église;28.9;3.7;73.4;9.2;16.5;3.6;19.3;3.7
12133;Luc-la-Primaube;29.4;3.7;23.8;9.1;24.3;2.9;18.6;3.3
12138;Marcillac-Vallon;28.8;3.3;31;8.5;14.7;3.1;18.1;2.3
12145;Millau;30.8;3.6;58.6;9.4;25.5;4.1;19.3;3.6
12148;Montbazens;31.4;3.7;35.9;10.8;44.9;0;19;3.6
12169;Naucelle;31.9;4.3;43.4;17.3;41.2;4.2;22.4;4.3
12197;Réquista;25.9;2.5;0;6.7;34.4;1.9;21.8;4.8
12198;Rieupeyroux;31.6;2.9;36.3;5.4;54.5;0;23.8;3.6
