Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par bassin de vie; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre de décès domiciliés 2024;Part des pers. âgées de 75 ans ou + 2022;Taux de pauvreté 2021;Médiane du niveau de vie 2021;Part des non ou peu diplômés dans la pop. non scolarisée de 15 ans ou + 2022;Part des ouvriers dans le nb d’emplois au LT 2022;Part des familles monoparentales 2022;Part des pers. âgées de - 15 ans 2022;Taille moyenne des ménages 2022;Part des locataires dans les rés. principales 2022;Part des locataires HLM dans les rés. principales 2022;Part des résidences principales en suroccupation accentuée 2022;Part des rés. principales dans le total des logements 2022;Part des appartements dans le total des logements 2022;Part des maisons dans le total des logements 2022;Densité de population (historique depuis 1876) 2022
01004;Ambérieu-en-Bugey;422;8.4;11.1;23250;18.1;24.1;14.4;19.6;2.24;35.4;12.1;0.3;85.9;28.3;70.7;105.2
01033;Valserhône;229;7.4;13;26910;19.4;25.3;14.5;19.8;2.29;39;19;0.2;83;44.6;55;88.7
01034;Belley;314;11.6;12.5;22620;21.1;25.1;14.6;17;2.14;31.6;10.8;0.2;78.1;25.7;73.4;60.9
01053;Bourg-en-Bresse;774;10.9;14.8;23030;19.8;22.1;16.7;17.4;2.09;44.9;21.9;0.5;90.1;51.3;48.1;210.9
01072;Ceyzériat;197;10.4;7.4;24780;16;28.1;13.6;18.3;2.29;24.2;8;0.1;85.3;13.7;85.4;66.8
01093;Châtillon-sur-Chalaronne;199;10.8;8;24160;20.2;23.4;10.8;18.7;2.29;30.6;9.4;0.1;89.5;26;73.5;62.1
01138;Culoz-Béon;90;9.8;10.5;23500;18.8;31.2;13.5;18.7;2.2;28.4;13.1;0.7;76.6;22.4;76.8;79.8
01143;Divonne-les-Bains;71;8.6;7.8;47460;9.5;8.7;15.4;20.7;2.21;37.4;10.3;0.8;71.2;67;32;270
01160;Ferney-Voltaire;74;5.1;17.8;35650;11.1;12.5;16.6;21.4;2.21;51.1;17.6;0.7;82.1;74.5;24.5;1134.5
01173;Gex;127;4.7;9.4;38740;11.5;15.3;15.1;21.4;2.29;44.1;17.8;0.6;81;59;40.4;242.7
01185;Plateau d'Hauteville;125;13.2;12.2;22800;18.8;20.7;14.1;14.6;1.97;33.1;11.5;0.2;68.7;29.9;69.2;24.7
01202;Lagnieu;129;9.6;7.9;24460;18.7;36.7;14;18.6;2.2;33.4;11.5;0.1;88.4;30.2;68.8;131.5
01244;Meximieux;160;6.9;6.2;26310;14.8;19.1;13.5;21;2.42;28.6;9.9;0.2;91.4;22.6;76.7;150.9
01262;Montluel;185;7.1;8.2;25340;17.5;21.9;13.4;20.4;2.49;32;12.7;0.3;92.8;32.1;67.1;200
01265;Montréal-la-Cluse;170;8.3;13.6;22970;24.2;39.4;14;18.6;2.3;39.7;17.9;0.3;83.8;37.9;61.7;73.2
01266;Montrevel-en-Bresse;171;9.7;7.3;23740;19;29.7;10.6;18.6;2.28;25.9;8.1;0.1;89.7;17.5;82;69.5
01283;Oyonnax;381;9.1;19.2;21250;31;34.4;13.2;19.1;2.28;44.9;27.7;1;83.7;47.1;51.8;87.9
01304;Pont-d'Ain;57;9.3;10.2;23640;19.6;33.7;15.3;18.7;2.26;26.7;6.6;0.5;83.1;21.2;78.6;117
01305;Pont-de-Vaux;260;11.6;9.7;23080;22.5;28.6;11;17.5;2.2;24.3;5.2;0.1;84.4;14.4;84.9;54.4
01333;Saint-André-de-Corcy;64;7.5;5;26740;14;17.8;11;18.9;2.4;24.1;11;0.3;93.8;25.6;74.1;105.6
01354;Saint-Genis-Pouilly;134;5;13.2;37680;10.7;14.2;13.1;22.3;2.37;40.1;12.3;0.4;88.2;51.7;47.6;248.7
01443;Villars-les-Dombes;88;10.7;7.6;24970;18;25.7;12.3;19.8;2.31;32.3;12.2;0.5;89.1;29.7;68.4;47.9
01457;Vonnas;74;8.8;8.5;23430;19.3;28;10.8;19.3;2.32;27.6;8.6;0.2;91.4;15.6;83;93
02095;Bohain-en-Vermandois;294;9.4;23.2;19070;32.2;37.3;15.6;19.4;2.35;29.9;7.4;0.1;86.3;9.4;90.5;82.9
02163;Charly-sur-Marne;99;10.4;12.5;22630;25.2;27.8;15.8;18;2.3;27.8;8.1;0.5;85.1;19.4;79.7;111.8
02168;Château-Thierry;464;9.5;15.7;21970;26.9;30.6;18.4;18.6;2.22;35.8;15.5;0.4;87.4;30.6;68.4;85.8
02173;Chauny;362;9.4;17.8;21080;26.4;24.6;17.2;17.2;2.19;31.9;11.9;0.4;87.1;16.8;82.4;99.3
02305;Fère-en-Tardenois;68;11.4;16.9;21090;25.4;25.3;14.7;18.8;2.26;28.3;11.7;0.4;83.6;19.2;80.1;36.7
02360;Villeneuve-sur-Aisne;53;8.3;8.3;23250;18.7;29;10.3;20.8;2.41;20.8;6.9;0;91.4;7.4;92.2;44.9
02361;Guise;259;10;21.9;19850;30.5;31.4;15.8;17.5;2.23;28.8;6.2;0.5;83.7;10.4;88.6;40.1
02381;Hirson;320;10.8;25.9;18620;31.7;29.7;16.2;17.3;2.17;33.4;9.5;0.5;82.1;14;85.1;41.6
02408;Laon;756;8.8;18.6;20950;25.3;22.8;17.4;18.1;2.19;38.7;18.5;0.4;86;24.2;75.4;60.9
02468;Marle;75;9.9;21.1;19670;32.5;30;16.1;18.4;2.31;28.9;8.8;0.2;83;11;88.3;31.2
02502;Montcornet;46;9.5;21.2;19500;33.4;35.1;12.5;17.3;2.25;25.9;4.8;0;82.2;7.6;92.1;23.9
02558;Le Nouvion-en-Thiérache;186;9.3;20.1;20240;30.6;41.8;13.9;18.5;2.26;31.5;11.5;0.3;85;11.6;88.1;52.8
02691;Saint-Quentin;952;10.4;21.4;20520;26.9;26.5;18.7;17.5;2.11;44.8;18.6;0.3;87.6;34.8;64.4;188.5
02722;Soissons;834;10.5;18.4;21210;26.1;25.7;17.6;17.9;2.18;42.4;22.7;0.6;90;35.3;63.7;106.5
02738;Tergnier;448;9.3;20.1;20190;27.7;33.4;18.1;18.9;2.24;36.5;16.9;0.4;88.4;19.3;80.3;121.5
02789;Vervins;103;10.4;21.5;20170;29;30.3;17;17.6;2.19;31.1;10.8;0;81.9;13.6;86;33.3
02810;Villers-Cotterêts;278;8.2;11.9;22500;26;28;15;18.7;2.32;31.5;15.9;0.6;86;23.9;75.2;53.9
03036;Bourbon-l'Archambault;101;15.3;18.6;20550;27;25.3;9;13.8;1.99;25.7;4.4;0.3;72.3;12.8;86.4;18.2
03082;Commentry;341;14;15.9;21190;22.4;29;14.2;14.6;2.01;25;10.3;0.2;72.1;16.9;82.4;38.2
03102;Dompierre-sur-Besbre;118;13.9;13.9;21010;27.2;35.4;10.8;14.3;2.06;27.3;8.3;0;78.1;9.4;90.1;20
03118;Gannat;357;12.9;12.6;22190;20.9;24.4;15.1;16.6;2.14;23.1;4.7;0.2;77.9;9.7;89.6;47
03138;Lapalisse;205;15.1;19.9;20000;26.5;28.9;14.1;13.9;2.05;24.2;3;0;71.1;8.5;90.7;19
03185;Montluçon;1086;14.8;17.8;21250;21.7;21;15.8;14.5;1.94;33.2;12;0.2;77.4;31.7;67.5;61.4
03186;Montmarault;41;13.7;19.3;20090;25.5;31.4;8.7;15.8;2.08;29.7;11;0.3;71.2;9.1;90.4;18.1
03190;Moulins;749;12.6;14.7;22240;22.6;21.5;15.5;15.3;1.96;39;14.8;0.3;85.2;32;66.6;54
03254;Saint-Pourçain-sur-Sioule;222;12.6;13.1;21690;22.8;36.7;13.3;15.3;2.06;26.4;3.8;0.1;79.8;9.7;89.8;32.3
03298;Varennes-sur-Allier;103;14.5;15;20980;28.8;32;12.3;14.5;2.03;28.9;5.3;0.1;83.1;16.9;82.4;41.2
03310;Vichy;1216;14.3;16.1;21930;21.7;24.3;15.9;14.5;1.94;35.2;9.7;0.4;79;40.1;59.1;101.6
04019;Barcelonnette;81;12.5;16.3;21510;14.4;17;18.7;14.2;1.92;33.7;5.6;0.1;24.6;66.1;31.7;7.5
04049;Château-Arnoux-Saint-Auban;169;12.6;15.4;21710;19.9;26.5;15.4;16;2.07;34.9;10.1;0.2;84;26.2;73;74.3
04070;Digne-les-Bains;343;13.2;16.5;22200;18.7;14.5;19.5;14.1;1.89;45.3;12.7;0.4;79.5;47.2;52.1;26.6
04088;Forcalquier;206;13.4;18.6;21260;16.2;18.5;16.5;14.9;2.01;32.2;4.6;0.4;69.2;17.8;81.1;26.6
04094;Gréoux-les-Bains;145;11.1;13.6;23090;18.3;11.9;13.5;16.7;2.16;29.5;5.5;0.2;57.2;35.2;63.7;39.9
04112;Manosque;450;12.9;16.2;22560;17.7;19.5;17.8;17.2;2.11;41.1;10.2;0.5;84.7;41.1;58.3;157.3
04143;Oraison;115;13.7;13.8;22660;19.3;22.3;19.6;15.8;2.06;37.2;7.5;0.5;82.5;21.9;77.5;53.7
04166;Riez;155;14.6;19.2;21040;19.4;18.1;17;12.8;1.95;29.7;2.4;0.4;56.3;19.2;77;13.9
04173;Saint-André-les-Alpes;128;14.3;21.2;20470;18.2;19.7;16.4;12.6;1.89;26.7;4.1;0.6;29.2;43.4;56;6.7
04209;Sisteron;211;12.7;16.7;21570;18.6;23;18.7;14.9;2.04;37.1;8.5;0.5;74.8;30.4;68.5;21.1
05006;L'Argentière-la-Bessée;45;10.8;16.5;21420;15;20.1;13.6;16.3;2.08;29.2;11.9;0;31.9;59.4;40.1;13.4
05023;Briançon;215;10.3;14.1;22080;12.9;16.4;14.6;15.4;1.98;35.9;10.5;0.3;34.5;71.3;28.2;27.8
05040;Chorges;148;11.6;14.2;21850;15.8;20.5;16.2;16.3;2.1;28.9;6.5;0.2;49.7;34.7;63.8;20.5
05046;Embrun;170;13.6;14.3;21930;16;14.9;14.8;14.3;1.96;33.5;11.4;0.2;42.4;60.5;37.6;24.9
05061;Gap;489;12.4;14.2;22390;15.6;16;15.9;15.6;1.98;40;12.8;0.2;71.3;58.6;40.7;77.5
05065;Guillestre;98;11.3;15;21590;13.7;21.3;17.1;14.7;1.97;28.2;4.3;0.2;23.1;66;33.6;9.6
05070;Laragne-Montéglin;114;15.5;17.2;21220;19.8;24.2;16;12.4;1.92;32.3;5.5;0.5;69.7;27.3;71.6;17.6
05132;Saint-Bonnet-en-Champsaur;97;12.3;15.2;21720;15.8;16.6;11.9;15.5;2.04;21.3;2.6;0.3;32.6;48.5;50.9;11.9
05170;Tallard;59;11.6;13.3;22630;16.6;23.5;11.4;16.8;2.17;28.2;5.2;0.3;79.3;24.1;74.7;32.2
05179;Veynes;160;15.1;20.1;20390;19;17.1;16.5;13.4;1.96;28.2;7.9;0.4;58.1;22;77.1;10.6
06029;Cannes;4790;13.8;14.9;23970;18.2;14;18.2;15;2.03;39.5;10;1.4;64.4;73;26.4;419.7
06033;Carros;422;9.7;12.7;23640;18.1;25.6;16;18;2.3;27.4;8;1.2;53.8;51.1;48.1;32.5
06048;Contes;230;11.9;10.3;24430;18.2;18.4;15.7;16.4;2.3;24.5;4;1;79.6;32.7;66.5;115.2
